model,train_pr_auc,test_pr_auc,train_roc_auc,test_roc_auc,test_brier,test_accuracy
RandomForest,1.0000000000000004,0.5559953326156137,1.0,0.9601067493112948,0.021004210296342578,0.9714076246334311
XGBoost,1.0,0.5478343813472927,1.0,0.9576446280991735,0.023897779011398255,0.969208211143695
LogReg,0.42862270831575694,0.4312176362454321,0.9507019666259106,0.9476067493112947,0.09515499569769173,0.8629032258064516
